Level_Hierarchy	Constraint_Name	Group_Name	Previous_hierarchy	Status_previous_Hierarchy	MonophylyCorrected	Monophyletic_Constraint	PresenceDNATree	Comments
Family	Grammicolepididae	Grammicolepididae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Leptoscopidae	Leptoscopidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Linophrynidae	Linophrynidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Gaidropsaridae	Gaidropsaridae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Centriscidae	Centriscidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Melanonidae	Melanonidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Microcanthidae	Microcanthidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Nettastomatidae	Nettastomatidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Oreosomatidae	Oreosomatidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Plectrogeniidae	Plectrogeniidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Scorpididae	Scorpididae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Synaphobranchidae	Synaphobranchidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Tetragonuridae	Tetragonuridae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Trachyrincidae	Trachyrincidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Veliferidae	Veliferidae	See_Species	Species	Not Examined	No	DNA_Tree	
Family	Bregmacerotidae	Bregmacerotidae	See_Species	Species	Not Examined	No	No	
Family	Chlopsidae	Chlopsidae	See_Species	Species	Not Examined	No	No	
Family	Diceratiidae	Diceratiidae	See_Species	Species	Not Examined	No	No	
Family	Draconettidae	Draconettidae	See_Species	Species	Not Examined	No	No	
Family	Epigonichthyidae	Epigonichthyidae	See_Species	Species	Not Examined	No	No	
Family	Neosebastidae	Neosebastidae	See_Species	Species	Not Examined	No	No	
Family	Alepocephalidae	Alepocephalidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Cheilodactylidae	Cheilodactylidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Chlorophthalmidae	Chlorophthalmidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Clupeidae	Clupeidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Gempylidae	Gempylidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Hemiramphidae	Hemiramphidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
Family	Nototheniidae	Nototheniidae	See_Species	Species	Not monophyletic	No	DNA_Tree	
